13:58:38 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":172,"from":{"id":5412674596,"is_bot":true,"first_name":"borisenkotest","username":"boriseno_test_bot"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657709919,"text":"Xy9yd0ux06dogx"}}'"
13:58:40 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":554162222,\n"message":{"message_id":173,"from":{"id":965665251,"is_bot":false,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","language_code":"ru"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657709922,"text":"Urzits9yd0u"}}]}'"
13:58:40 | DEBUG | start_polling: 395 | Received 1 updates.
13:58:40 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 965665251, 'text': 'Urzits9yd0u'}" and files "None"
13:58:40 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
13:58:40 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":174,"from":{"id":5412674596,"is_bot":true,"first_name":"borisenkotest","username":"boriseno_test_bot"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657709922,"text":"Urzits9yd0u"}}'"
13:59:00 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
13:59:00 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
13:59:20 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
13:59:20 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
13:59:40 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
